Started FTP process at 2/9/2018 10:43:34 AM
Connected to 10.160.4.6 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0400.dat - length 12264
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0500.dat - length 22748
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0600.dat - length 36498
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0700.dat - length 47733
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0800.dat - length 41062
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0900.dat - length 39411
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1000.dat - length 36830
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1100.dat - length 41975
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1200.dat - length 41139
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1300.dat - length 41260
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1400.dat - length 42382
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1500.dat - length 47338
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1600.dat - length 48176
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1700.dat - length 46089
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1800.dat - length 42137
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_1900.dat - length 37663
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_2000.dat - length 30375
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_2100.dat - length 25309
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_2200.dat - length 20942
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_2300.dat - length 18174
Finished with FTP process.
Connected to 10.160.4.31 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0000.dat - length 3298
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0100.dat - length 4043
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0200.dat - length 5611
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0300.dat - length 6486
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0400.dat - length 9954
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.31_2018_02_08_0500.dat - length 16563